,car_make,make_id,car_model,model_id,links_ads,download_date_time,id_ad
0,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=380043353&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,380043353
1,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=376392454&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,376392454
2,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=367309574&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,367309574
3,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=378047641&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,378047641
4,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=342406831&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,342406831
5,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=370723556&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,370723556
6,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=378468132&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,378468132
7,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=373828321&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,373828321
8,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=342771816&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,342771816
9,Porsche,20100,997,17,https://suchen.mobile.de/fahrzeuge/details.html?id=369110892&dam=0&fr=2009%3A2011&isSearchRequest=true&ms=20100%3B17%3B%3B&pageNumber=7&pw=%3A295&ref=srp&refId=88a9c63e-950f-1558-9fc1-cca59e925faf&sb=rel&searchId=88a9c63e-950f-1558-9fc1-cca59e925faf&vc=Car,26/11/2023 20:20:45,369110892
